"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Pixel 4a"
"deviceBrand","google"
"deviceBoard","sunfish"
"deviceManufacturer","Google"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","12"
"accelerometer Name","LSM6DSR Accelerometer"
"accelerometer Vendor","STMicro"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047856453"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.17"
"accelerometer Version","142856"
"linear_acceleration Name","Linear Acceleration Sensor"
"linear_acceleration Vendor","Google"
"linear_acceleration Range","156.96"
"linear_acceleration Resolution","1.0E-5"
"linear_acceleration MinDelay","20000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0"
"linear_acceleration Version","1"
"gyroscope Name","LSM6DSR Gyroscope"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.905033"
"gyroscope Resolution","0.0012216945"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.55"
"gyroscope Version","142856"
"magnetic_field Name","LIS2MDL Magnetometer"
"magnetic_field Vendor","STMicro"
"magnetic_field Range","4915.2"
"magnetic_field Resolution","0.01"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","0.2"
"magnetic_field Version","262"
"pressure Name","BMP380 Pressure Sensor"
"pressure Vendor","Bosch"
"pressure Range","1249.9998"
"pressure Resolution","0.0017"
"pressure MinDelay","40000"
"pressure MaxDelay","1000000"
"pressure Power","0.7"
"pressure Version","8709"
"light Name","TCS3701 Ambient Light Sensor"
"light Vendor","AMS"
"light Range","1.0"
"light Resolution","0.01"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.001"
"light Version","1"
"proximity Name","TCS3701 Proximity Sensor (wake-up)"
"proximity Vendor","AMS"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","LSM6DSR Temperature"
"temperature Vendor","STMicro"
"temperature Range","85.0"
"temperature Resolution","0.0039"
"temperature MinDelay","200000"
"temperature MaxDelay","1000000"
"temperature Power","0.24"
"temperature Version","142856"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector Sensor"
"attitude Vendor","Google"
"attitude Range","1.0"
"attitude Resolution","1.0E-5"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.0"
"attitude Version","1"
